b1#1000#00:00:00,01:00:00#5
b2#2000#00:10:00,01:00:00#1
b3#3000#00:30:00,00:30:00#2
b4#4000#03:00:00,00:30:00#1
b5#10000#07:00:00,02:00:00#2
b6#5000#09:00:05,01:30:00#1
b7#1000#00:00:00,01:00:00#3
b8#2000#00:10:00,01:00:00#3
b9#3000#00:30:00,00:30:00#3
b10#4000#03:00:00,00:30:00#1
b11#10000#07:00:00,02:00:00#4
b12#5000#09:00:05,01:30:00#1
b13#1000#00:00:00,01:00:00#4
b14#2000#00:10:00,01:00:00#1
b15#3000#00:30:00,00:30:00#5
b16#4000#03:00:00,00:30:00#1
b17#10000#07:00:00,02:00:00#5
b18#5000#09:00:05,01:30:00#1
b19#1000#00:00:00,01:00:00#4
b20#2000#00:10:00,01:00:00#2
